,budget,gross,profit,votes,IMDb score,clusters,cluster
0,19000000.0,46998772.0,27998772.0,927000.0,8.4,0,salmon colored
1,4500000.0,58853106.0,54353106.0,65000.0,5.8,0,salmon colored
2,18000000.0,538375067.0,520375067.0,1200000.0,8.7,2,dark purple
3,3500000.0,83453539.0,79953539.0,221000.0,7.7,0,salmon colored
4,6000000.0,39846344.0,33846344.0,108000.0,7.3,0,salmon colored
5,550000.0,39754601.0,39204601.0,123000.0,6.4,0,salmon colored
6,27000000.0,115229890.0,88229890.0,188000.0,7.9,0,salmon colored
7,18000000.0,23402427.0,5402427.0,330000.0,8.2,0,salmon colored
8,54000000.0,108185706.0,54185706.0,101000.0,6.8,0,salmon colored
9,10000000.0,15795189.0,5795189.0,10000.0,7.0,0,salmon colored
10,15000000.0,70687344.0,55687344.0,18000.0,6.1,0,salmon colored
11,5000000.0,30031783.0,25031783.0,54000.0,7.3,0,salmon colored
12,20000000.0,49823037.0,29823037.0,30000.0,5.3,0,salmon colored
13,6000000.0,54766923.0,48766923.0,49000.0,7.7,0,salmon colored
14,6500000.0,31899000.0,25399000.0,37000.0,7.1,0,salmon colored
15,5100000.0,9709597.0,4609597.0,27000.0,7.2,0,salmon colored
16,20500000.0,21202829.0,702829.0,21000.0,6.6,0,salmon colored
17,10000000.0,103300686.0,93300686.0,29000.0,6.9,0,salmon colored
18,1000000.0,21448782.0,20448782.0,66000.0,6.8,0,salmon colored
19,20500000.0,101300000.0,80800000.0,26000.0,6.8,0,salmon colored
20,11000000.0,19814523.0,8814523.0,20000.0,6.5,0,salmon colored
21,44000000.0,3484523.0,-40515477.0,14000.0,6.8,0,salmon colored
22,12000000.0,16647800.0,4647800.0,22000.0,6.7,0,salmon colored
23,20000000.0,22762571.0,2762571.0,12000.0,5.3,0,salmon colored
24,20500000.0,46918287.0,26418287.0,14000.0,6.4,0,salmon colored
25,20500000.0,19853892.0,-646108.0,33000.0,6.9,0,salmon colored
26,20500000.0,34326249.0,13826249.0,5100.0,6.5,0,salmon colored
27,36000000.0,20205757.0,-15794243.0,4100.0,5.0,0,salmon colored
28,9000000.0,37121708.0,28121708.0,17000.0,7.2,0,salmon colored
29,4800000.0,22743674.0,17943674.0,22000.0,6.2,0,salmon colored
30,20500000.0,22482952.0,1982952.0,8900.0,7.1,0,salmon colored
31,20500000.0,14796236.0,-5703764.0,16000.0,5.4,0,salmon colored
32,20500000.0,66132626.0,45632626.0,15000.0,5.3,0,salmon colored
33,5100000.0,534816.0,-4565184.0,604.0,6.1,0,salmon colored
34,20500000.0,43995918.0,23495918.0,9100.0,6.7,0,salmon colored
35,10000000.0,69847348.0,59847348.0,24000.0,6.2,0,salmon colored
36,4000000.0,10000000.0,6000000.0,4300.0,6.3,0,salmon colored
37,3000000.0,6342668.0,3342668.0,11000.0,6.0,0,salmon colored
38,20500000.0,27118000.0,6618000.0,4000.0,5.9,0,salmon colored
39,20500000.0,67182787.0,46682787.0,17000.0,7.5,0,salmon colored
40,20500000.0,5000000.0,-15500000.0,5700.0,6.3,0,salmon colored
41,20500000.0,20205757.0,-294243.0,13000.0,7.9,0,salmon colored
42,3500000.0,7063886.0,3563886.0,9000.0,7.1,0,salmon colored
43,20500000.0,6659377.0,-13840623.0,11000.0,6.6,0,salmon colored
44,20500000.0,8415112.0,-12084888.0,2000.0,4.8,0,salmon colored
45,20500000.0,41675194.0,21175194.0,12000.0,6.1,0,salmon colored
46,22000000.0,15716828.0,-6283172.0,3900.0,5.3,0,salmon colored
47,300000.0,20205757.0,19905757.0,3900.0,4.6,0,salmon colored
48,15000000.0,14662035.0,-337965.0,3100.0,5.1,0,salmon colored
49,35000000.0,20205757.0,-14794243.0,15000.0,8.3,0,salmon colored
50,10000000.0,10389003.0,389003.0,22000.0,7.3,0,salmon colored
51,7000000.0,4309490.0,-2690510.0,4500.0,6.8,0,salmon colored
52,20000000.0,20205757.0,205757.0,3700.0,4.2,0,salmon colored
53,6500000.0,24265659.0,17765659.0,11000.0,6.1,0,salmon colored
54,20500000.0,12516.0,-20487484.0,6700.0,7.0,0,salmon colored
55,20500000.0,20205757.0,-294243.0,2900.0,6.7,0,salmon colored
56,20000000.0,3763988.0,-16236012.0,2600.0,4.6,0,salmon colored
57,6000000.0,6216067.0,216067.0,2400.0,5.4,0,salmon colored
58,4000000.0,18971000.0,14971000.0,5200.0,5.1,0,salmon colored
59,11000000.0,20205757.0,9205757.0,2400.0,5.3,0,salmon colored
60,20500000.0,18000000.0,-2500000.0,5300.0,5.0,0,salmon colored
61,20500000.0,14287755.0,-6212245.0,1900.0,6.7,0,salmon colored
62,20500000.0,20205757.0,-294243.0,875.0,5.5,0,salmon colored
63,20500000.0,17815212.0,-2684788.0,1400.0,6.3,0,salmon colored
64,20500000.0,3910019.0,-16589981.0,2800.0,7.3,0,salmon colored
65,20500000.0,7653061.0,-12846939.0,2000.0,6.3,0,salmon colored
66,900000.0,20205757.0,19305757.0,12000.0,8.1,0,salmon colored
